username, action, amount
zhukss, 10, 300000.0
aida917, 1, 30000.0
koroleva, 25, 750000.0
ivanovkirill8, 1, 30000.0
egorovgroup, 15, 450000.0
tkdvs, 3, 90000.0
nifirtiti, 1, 30000.0
olesya, 1, 30000.0
evanze, 1, 30000.0
kibanovateam, 3, 90000.0
ecokatusha, 3, 90000.0
egrachev, 1, 30000.0
drevao, 28, 840000.0
niknik1962, 2, 60000.0
grebenuk, 28, 840000.0
dregst, 1, 30000.0
anikinserj, 1, 30000.0
moneybull, 2, 60000.0
saryh21, 60, 1800000.0
shalakin, 1, 30000.0
verra21, 1, 30000.0
elav, 1, 30000.0
alex700, 2, 60000.0
topdobr1, 1, 30000.0
yakuba, 4, 120000.0
pchelyakov, 50, 1500000.0
izumrud, 1, 30000.0
vadimbro1, 1, 30000.0
yulianosik, 3, 90000.0
ksenias, 1, 30000.0
ilyasovw, 1, 30000.0
alex81, 1, 30000.0
uspeh19, 2, 60000.0
ledymillion, 1, 30000.0
agritanov, 2, 60000.0
procuklubov98@gmail.com, 2, 60000.0
gera55, 1, 30000.0
